isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
46,x1,1,4.1718,0.6776,3.0049,5.7708,37.90,<.0001
46,x2,1,0.4787,0.4736,-0.4126,1.4750,1.02,0.3121
46,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
47,Intercept,1,-3.7735,0.4876,-4.8855,-2.9360,59.90,<.0001
47,x1,1,3.2144,0.5660,2.1556,4.4294,32.25,<.0001
47,x2,1,0.0887,0.5232,-0.9793,1.1125,0.03,0.8654
47,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
48,Intercept,1,-4.3704,0.6513,-5.9418,-3.2942,45.03,<.0001
48,x1,1,2.4628,0.5033,1.5377,3.5430,23.94,<.0001
48,x2,1,1.7621,0.6937,0.5576,3.3820,6.45,0.0111
48,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
49,Intercept,1,-3.5881,0.4629,-4.6268,-2.7852,60.08,<.0001
49,x1,1,2.6459,0.5295,1.6216,3.7300,24.97,<.0001
49,x2,1,0.6496,0.5478,-0.3932,1.7923,1.41,0.2357
49,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
50,Intercept,1,-4.0583,0.6330,-5.6080,-3.0229,41.10,<.0001
50,x1,1,2.0120,0.4637,1.1435,2.9851,18.83,<.0001
50,x2,1,1.7450,0.7105,0.4941,3.3920,6.03,0.0141
50,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
51,Intercept,1,-3.1080,0.3958,-3.9930,-2.4175,61.67,<.0001
51,x1,1,1.9703,0.4434,1.1422,2.8897,19.75,<.0001
51,x2,1,1.0313,0.5204,0.0421,2.1045,3.93,0.0475
51,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
52,Intercept,1,-3.0103,0.3927,-3.8908,-2.3264,58.76,<.0001
52,x1,1,2.5312,0.4526,1.6765,3.4662,31.27,<.0001
52,x2,1,0.4579,0.5305,-0.5669,1.5428,0.74,0.3881
