isim,Parameter,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq
72,x1,1,0.4245,1.1359,-1.8018,2.6509,0.14,0.7086
72,x2,1,0.5489,0.6956,-0.8144,1.9123,0.62,0.4300
72,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
73,Intercept,1,-1.9788,0.4472,-2.8553,-1.1023,19.58,<.0001
73,x1,1,0.5687,389053.3,-762530,762531.0,0.00,1.0000
73,x2,1,-25.5469,263226.7,-515940,515889.2,0.00,0.9999
73,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
74,Intercept,1,-2.7060,0.7071,-4.0920,-1.3201,14.65,0.0001
74,x1,1,-24.3132,211385.6,-414333,414283.9,0.00,0.9999
74,x2,1,0.9227,0.8660,-0.7747,2.6200,1.14,0.2867
74,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
75,Intercept,1,-2.4310,0.5000,-3.4110,-1.4510,23.64,<.0001
75,x1,1,-25.0962,200158.3,-392328,392277.9,0.00,0.9999
75,x2,1,1.1556,0.8660,-0.5418,2.8530,1.78,0.1821
75,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
76,Intercept,1,-2.5076,0.7094,-3.8980,-1.1172,12.49,0.0004
76,x1,1,-0.6083,1.0776,-2.7204,1.5037,0.32,0.5724
76,x2,1,0.8650,0.8230,-0.7481,2.4781,1.10,0.2932
76,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
77,Intercept,1,-2.5212,0.5774,-3.6528,-1.3896,19.07,<.0001
77,x1,1,0.5998,1.2247,-1.8006,3.0003,0.24,0.6243
77,x2,1,0.3888,0.9129,-1.4004,2.1780,0.18,0.6702
77,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
78,Intercept,1,-2.9148,0.7071,-4.3007,-1.5289,16.99,<.0001
78,x1,1,-23.5577,212068.5,-415670,415623.0,0.00,0.9999
78,x2,1,1.3900,0.8367,-0.2498,3.0299,2.76,0.0966
78,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
79,Intercept,1,-2.6504,0.5828,-3.7928,-1.5081,20.68,<.0001
79,x1,1,-0.0130,1.1339,-2.2355,2.2094,0.00,0.9908
79,x2,1,0.5376,0.8452,-1.1189,2.1941,0.40,0.5247
79,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
80,Intercept,1,-3.7603,1.0000,-5.7202,-1.8003,14.14,0.0002
80,x1,1,-24.3903,239876.5,-470174,470125.0,0.00,0.9999
80,x2,1,1.5503,1.2247,-0.8501,3.9508,1.60,0.2056
80,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
81,Intercept,1,-3.0318,0.7071,-4.4177,-1.6459,18.38,<.0001
81,x1,1,-24.8265,234902.1,-460424,460374.8,0.00,0.9999
81,x2,1,1.5292,0.9129,-0.2600,3.3184,2.81,0.0939
81,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
82,Intercept,1,-2.4228,0.5000,-3.4028,-1.4428,23.48,<.0001
82,x1,1,-23.2826,166452.0,-326263,326216.7,0.00,0.9999
82,x2,1,0.5854,0.8660,-1.1119,2.2828,0.46,0.4990
82,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
83,Intercept,1,-3.7534,1.0029,-5.7192,-1.7877,14.01,0.0002
83,x1,1,0.4398,1.3457,-2.1977,3.0773,0.11,0.7438
83,x2,1,1.2961,1.3457,-1.3413,3.9336,0.93,0.3355
83,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
84,Intercept,1,-3.4065,0.7411,-4.8591,-1.9539,21.13,<.0001
84,x1,1,1.0050,1.4590,-1.8547,3.8646,0.47,0.4910
84,x2,1,0.6155,1.4590,-2.2441,3.4752,0.18,0.6731
84,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
85,Intercept,1,-3.5636,1.0000,-5.5236,-1.6036,12.70,0.0004
85,x1,1,-24.3071,179886.1,-352595,352546.1,0.00,0.9999
85,x2,1,2.4490,1.0801,0.3320,4.5660,5.14,0.0234
85,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
86,Intercept,1,-2.5313,0.5774,-3.6629,-1.3997,19.22,<.0001
86,x1,1,-22.8219,189595.8,-371624,371578.0,0.00,0.9999
86,x2,1,0.4823,0.9129,-1.3069,2.2715,0.28,0.5972
86,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
87,Intercept,1,-2.2052,0.5000,-3.1852,-1.2253,19.45,<.0001
87,x1,1,-24.4707,218708.2,-428685,428635.8,0.00,0.9999
87,x2,1,0.3227,0.8660,-1.3746,2.0201,0.14,0.7094
87,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
88,Intercept,1,-1.8934,0.4472,-2.7699,-1.0169,17.93,<.0001
88,x1,1,-24.2706,178904.2,-350670,350621.5,0.00,0.9999
88,x2,1,0.1706,0.7303,-1.2607,1.6020,0.05,0.8152
88,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
89,Intercept,1,-2.3625,0.5205,-3.3827,-1.3424,20.60,<.0001
89,x1,1,1.8997,1.0812,-0.2195,4.0188,3.09,0.0789
89,x2,1,-0.8655,1.0812,-2.9847,1.2536,0.64,0.4234
89,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
90,Intercept,1,-2.3964,0.5774,-3.5280,-1.2648,17.23,<.0001
90,x1,1,-23.7777,233833.1,-458328,458280.6,0.00,0.9999
90,x2,1,-0.7504,1.1547,-3.0135,1.5128,0.42,0.5158
90,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
91,Intercept,1,-1.9743,0.4082,-2.7745,-1.1742,23.39,<.0001
91,x1,1,-24.6264,455522.7,-892833,892783.4,0.00,1.0000
91,x2,1,-26.1638,295167.3,-578543,578491.1,0.00,0.9999
91,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
92,Intercept,1,-2.7587,0.7071,-4.1446,-1.3728,15.22,<.0001
92,x1,1,-24.1443,246316.3,-482795,482746.9,0.00,0.9999
92,x2,1,0.5989,1.0000,-1.3611,2.5588,0.36,0.5493
92,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
93,Intercept,1,-2.9923,0.7073,-4.3787,-1.6059,17.90,<.0001
93,x1,1,-1.1100,1.1431,-3.3504,1.1304,0.94,0.3315
93,x2,1,1.6965,0.9037,-0.0747,3.4676,3.52,0.0605
93,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
94,Intercept,1,-2.5074,0.5774,-3.6390,-1.3758,18.86,<.0001
94,x1,1,-23.2801,178617.5,-350107,350060.6,0.00,0.9999
94,x2,1,1.0892,0.7638,-0.4078,2.5861,2.03,0.1539
