isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
79,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
80,Intercept,1,-2.2579,0.2725,-2.8429,-1.7666,68.65,<.0001
80,x1,1,-0.5857,0.8437,-2.7590,0.7812,0.48,0.4876
80,x2,1,0.2080,0.4357,-0.6854,1.0477,0.23,0.6331
80,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
81,Intercept,1,-2.0738,0.2544,-2.6166,-1.6128,66.45,<.0001
81,x1,1,-0.6351,0.8357,-2.8040,0.7044,0.58,0.4472
81,x2,1,0.3439,0.3867,-0.4368,1.0971,0.79,0.3738
81,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
82,Intercept,1,-2.6078,0.3085,-3.2786,-2.0574,71.45,<.0001
82,x1,1,-0.1085,0.8684,-2.3021,1.3359,0.02,0.9006
82,x2,1,0.3315,0.5293,-0.7804,1.3360,0.39,0.5312
82,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
83,Intercept,1,-2.3243,0.2754,-2.9149,-1.8275,71.22,<.0001
83,x1,1,0.2389,0.6659,-1.3479,1.3732,0.13,0.7198
83,x2,1,0.3564,0.4207,-0.4989,1.1730,0.72,0.3969
83,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
84,Intercept,1,-2.5433,0.3245,-3.2534,-1.9672,61.41,<.0001
84,x1,1,0.0649,0.5836,-1.2638,1.0941,0.01,0.9115
84,x2,1,0.8587,0.4166,0.0558,1.7104,4.25,0.0393
84,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
85,Intercept,1,-2.2220,0.2852,-2.8360,-1.7091,60.71,<.0001
85,x1,1,0.8212,0.5828,-0.5039,1.8496,1.99,0.1588
85,x2,1,0.2540,0.4111,-0.5665,1.0651,0.38,0.5367
85,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
86,Intercept,1,-2.9306,0.3918,-3.8108,-2.2496,55.94,<.0001
86,x1,1,-0.7130,0.8572,-2.9198,0.6842,0.69,0.4055
86,x2,1,1.5168,0.4758,0.6196,2.5199,10.16,0.0014
86,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
87,Intercept,1,-2.8001,0.3651,-3.6110,-2.1596,58.81,<.0001
87,x1,1,0.6409,0.5136,-0.4531,1.6009,1.56,0.2121
87,x2,1,0.9771,0.4687,0.0768,1.9433,4.35,0.0371
87,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
88,Intercept,1,-2.4858,0.3241,-3.1957,-1.9110,58.83,<.0001
88,x1,1,-0.4324,0.5855,-1.7654,0.6009,0.55,0.4602
88,x2,1,1.1472,0.4109,0.3588,1.9908,7.80,0.0052
88,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
89,Intercept,1,-2.7249,0.3428,-3.4798,-2.1196,63.19,<.0001
89,x1,1,-0.3357,0.6886,-1.9547,0.8595,0.24,0.6260
89,x2,1,0.8902,0.4667,-0.0269,1.8321,3.64,0.0565
89,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
90,Intercept,1,-2.7295,0.3670,-3.5423,-2.0844,55.30,<.0001
90,x1,1,0.1404,0.6968,-1.4826,1.3635,0.04,0.8403
90,x2,1,0.3398,0.5182,-0.6958,1.3750,0.43,0.5120
90,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
91,Intercept,1,-2.9052,0.3914,-3.7841,-2.2246,55.09,<.0001
91,x1,1,-1.0116,0.8685,-3.2264,0.4243,1.36,0.2441
91,x2,1,1.3044,0.5043,0.3311,2.3477,6.69,0.0097
91,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
92,Intercept,1,-2.2639,0.2618,-2.8249,-1.7910,74.76,<.0001
92,x1,1,-1.4000,1.4298,-6.1923,0.6059,0.96,0.3275
92,x2,1,0.5140,0.4287,-0.3682,1.3368,1.44,0.2306
92,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
93,Intercept,1,-3.1173,0.4056,-4.0193,-2.4073,59.07,<.0001
93,x1,1,1.8317,0.5296,0.7190,2.8385,11.96,0.0005
93,x2,1,0.7300,0.5120,-0.2631,1.7824,2.03,0.1539
93,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
94,Intercept,1,-2.2742,0.2636,-2.8382,-1.7977,74.44,<.0001
